<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
ROSN,D,20131010,000000,263.2400000,265.4500000,262.8200000,265.0000000
ROSN,D,20131011,000000,266.6600000,266.7000000,264.3000000,265.0900000
ROSN,D,20131014,000000,264.9800000,265.2900000,263.4500000,265.0200000
ROSN,D,20131015,000000,266.3300000,267.5200000,263.3000000,265.5000000
ROSN,D,20131016,000000,265.5200000,265.5600000,260.2200000,261.0200000
ROSN,D,20131017,000000,261.5000000,262.2100000,255.6000000,256.8700000
ROSN,D,20131018,000000,258.3900000,262.4400000,256.9000000,260.9600000
ROSN,D,20131021,000000,261.8300000,263.2200000,259.1000000,259.5900000
ROSN,D,20131022,000000,261.0100000,261.4200000,259.8000000,260.0100000
ROSN,D,20131023,000000,259.0000000,260.5200000,254.2600000,254.4600000
ROSN,D,20131024,000000,255.2000000,255.4400000,249.9000000,251.5000000
ROSN,D,20131025,000000,251.3300000,252.9400000,249.5100000,252.2000000
ROSN,D,20131028,000000,252.8000000,254.7800000,250.3100000,253.8400000
ROSN,D,20131029,000000,253.9500000,257.4700000,251.5000000,253.6100000
ROSN,D,20131030,000000,253.8500000,254.6800000,248.7500000,250.0000000
ROSN,D,20131031,000000,248.9800000,254.5000000,247.4300000,254.0000000
ROSN,D,20131101,000000,254.0700000,255.6500000,251.1500000,251.9800000
ROSN,D,20131105,000000,251.9000000,252.7400000,248.7700000,249.3300000
ROSN,D,20131106,000000,249.6000000,249.9900000,246.7500000,249.0000000
ROSN,D,20131107,000000,248.8000000,250.8700000,247.1900000,248.7500000
ROSN,D,20131108,000000,247.3100000,248.3300000,245.7000000,245.9200000
ROSN,D,20131111,000000,246.8800000,247.8900000,243.8500000,244.0000000
ROSN,D,20131112,000000,244.8000000,248.2300000,243.8300000,247.5400000
ROSN,D,20131113,000000,246.5000000,247.0700000,244.0000000,244.3500000
ROSN,D,20131114,000000,245.7000000,246.7600000,245.4500000,245.7600000
ROSN,D,20131115,000000,246.7800000,247.2500000,243.5200000,244.2000000
ROSN,D,20131118,000000,244.7500000,245.8900000,243.7500000,244.9200000
ROSN,D,20131119,000000,245.0000000,245.8000000,243.6300000,244.9000000
ROSN,D,20131120,000000,244.0100000,245.0000000,244.0100000,244.9000000
ROSN,D,20131121,000000,244.0700000,244.2800000,241.4700000,242.2000000
ROSN,D,20131122,000000,243.3600000,247.3500000,242.7300000,246.6600000
ROSN,D,20131125,000000,246.9500000,247.9400000,244.0000000,244.6000000
ROSN,D,20131126,000000,244.7400000,244.7400000,238.8100000,240.7700000
ROSN,D,20131127,000000,240.3000000,241.8000000,237.1200000,237.5000000
ROSN,D,20131128,000000,238.7000000,238.8000000,235.3900000,238.4300000
ROSN,D,20131129,000000,238.5000000,239.3700000,236.9200000,238.4900000
ROSN,D,20131202,000000,238.3700000,240.8600000,237.4000000,237.4000000
ROSN,D,20131203,000000,236.5100000,236.9700000,232.7100000,233.5200000
ROSN,D,20131204,000000,234.0000000,236.6100000,233.5600000,235.8000000
ROSN,D,20131205,000000,235.6000000,236.6000000,231.7500000,232.3900000
ROSN,D,20131206,000000,232.7100000,236.9900000,232.7000000,235.1600000
ROSN,D,20131209,000000,236.0100000,238.9400000,233.6200000,236.0100000
ROSN,D,20131210,000000,236.6000000,237.0000000,233.2000000,234.4000000
ROSN,D,20131211,000000,233.9900000,234.7400000,232.8300000,234.0900000
ROSN,D,20131212,000000,232.1100000,233.5500000,230.6400000,233.0000000
ROSN,D,20131213,000000,233.0000000,234.5000000,232.2800000,232.2800000
ROSN,D,20131216,000000,231.2800000,236.3000000,227.2300000,236.1000000
ROSN,D,20131217,000000,235.9500000,236.8700000,233.7500000,236.8000000
ROSN,D,20131218,000000,236.9800000,242.3000000,236.9800000,241.6600000
ROSN,D,20131219,000000,243.5300000,246.2300000,242.4500000,244.5200000
ROSN,D,20131220,000000,244.5400000,245.2200000,243.5500000,243.5800000
ROSN,D,20131223,000000,245.0000000,248.7500000,244.1000000,248.2500000
ROSN,D,20131224,000000,248.3000000,248.8500000,246.8000000,248.0100000
ROSN,D,20131225,000000,248.5000000,249.0000000,247.7800000,248.6700000
ROSN,D,20131226,000000,248.8000000,249.0000000,248.0000000,248.0000000
ROSN,D,20131227,000000,248.2900000,248.9900000,246.9700000,247.9400000
ROSN,D,20131230,000000,246.9900000,251.7500000,246.8300000,251.6000000
ROSN,D,20140106,000000,247.1000000,248.0000000,242.9000000,243.0100000
ROSN,D,20140108,000000,243.3300000,243.7900000,242.0000000,242.0000000
ROSN,D,20140109,000000,241.1900000,245.0000000,240.6500000,241.9700000
ROSN,D,20140110,000000,240.9000000,243.2100000,239.4100000,242.4300000
ROSN,D,20140113,000000,241.9500000,243.4600000,240.6500000,240.7900000
ROSN,D,20140114,000000,238.8500000,243.1400000,236.2600000,242.2400000
ROSN,D,20140115,000000,243.4300000,246.3900000,242.0900000,246.3600000
ROSN,D,20140116,000000,246.3100000,247.2400000,243.4300000,243.4700000
ROSN,D,20140117,000000,243.5500000,249.4800000,243.0500000,248.7700000
ROSN,D,20140120,000000,248.4000000,249.9300000,247.6700000,249.3200000
ROSN,D,20140121,000000,250.3300000,250.8200000,248.4400000,250.3500000
ROSN,D,20140122,000000,250.3500000,251.7500000,249.5400000,250.5200000
ROSN,D,20140123,000000,250.5200000,252.0000000,248.6500000,248.6500000
ROSN,D,20140124,000000,247.4000000,249.1100000,246.5200000,247.9100000
ROSN,D,20140127,000000,246.8500000,249.4900000,246.0000000,246.6600000
ROSN,D,20140128,000000,247.3700000,248.0000000,244.2200000,244.4000000
ROSN,D,20140129,000000,245.7900000,248.7000000,244.2500000,245.0900000
ROSN,D,20140130,000000,245.0900000,246.6400000,242.6200000,245.7500000
ROSN,D,20140131,000000,246.1000000,246.1600000,242.8000000,245.0000000
ROSN,D,20140203,000000,244.9400000,245.0000000,238.7500000,238.9600000
ROSN,D,20140204,000000,238.3700000,243.9800000,238.0500000,242.8600000
ROSN,D,20140205,000000,242.8500000,243.9600000,241.2000000,242.7000000
ROSN,D,20140206,000000,243.0000000,245.0000000,242.7000000,244.4100000
ROSN,D,20140207,000000,245.4000000,246.1000000,243.3000000,246.1000000
ROSN,D,20140210,000000,246.6600000,247.8200000,245.6300000,247.2600000
ROSN,D,20140211,000000,248.1500000,248.9600000,247.0500000,248.5900000
ROSN,D,20140212,000000,248.7400000,249.7000000,247.0300000,248.3500000
ROSN,D,20140213,000000,247.2000000,247.2100000,242.7000000,243.7500000
ROSN,D,20140214,000000,245.0900000,248.2500000,244.4900000,247.1900000
ROSN,D,20140217,000000,248.3000000,252.4700000,247.7500000,249.9000000
ROSN,D,20140218,000000,249.4800000,252.4500000,249.0700000,250.1300000
ROSN,D,20140219,000000,250.2900000,250.8200000,246.6000000,247.9400000
ROSN,D,20140220,000000,246.0400000,247.5700000,245.2000000,246.6700000
ROSN,D,20140221,000000,247.4400000,250.7300000,247.3800000,250.0000000
ROSN,D,20140224,000000,249.7500000,250.1800000,247.5000000,249.1800000
ROSN,D,20140225,000000,249.5100000,249.9700000,247.1000000,248.7800000
ROSN,D,20140226,000000,248.6300000,249.5000000,245.6500000,246.9900000
ROSN,D,20140227,000000,247.4400000,248.8200000,240.1100000,242.9000000
ROSN,D,20140228,000000,242.5100000,245.8800000,240.4000000,243.9500000
ROSN,D,20140303,000000,239.9800000,239.9900000,223.2100000,230.8800000
ROSN,D,20140304,000000,235.5100000,242.0000000,233.8000000,237.9000000
ROSN,D,20140305,000000,238.0000000,238.4000000,231.7400000,236.0000000
ROSN,D,20140306,000000,236.9500000,237.9900000,230.0000000,235.6000000
ROSN,D,20140307,000000,234.3900000,239.4400000,231.5500000,236.3800000
ROSN,D,20140311,000000,233.6300000,236.7000000,227.5000000,229.5000000
ROSN,D,20140312,000000,227.9500000,229.6500000,223.2000000,224.0000000
ROSN,D,20140313,000000,225.0000000,225.6600000,223.0700000,224.8000000
ROSN,D,20140314,000000,221.9100000,230.0000000,219.1700000,225.8100000
ROSN,D,20140317,000000,227.0000000,229.4600000,221.5400000,228.0000000
ROSN,D,20140318,000000,228.5400000,234.0000000,225.0000000,232.4400000
ROSN,D,20140319,000000,234.4200000,235.4000000,230.3300000,231.4700000
ROSN,D,20140320,000000,230.1000000,233.3100000,228.5100000,231.6800000
ROSN,D,20140321,000000,227.0100000,233.7100000,223.2100000,231.2100000
ROSN,D,20140324,000000,231.2200000,236.9100000,228.0500000,228.0500000
ROSN,D,20140325,000000,228.0600000,232.9500000,227.5000000,232.0000000
ROSN,D,20140326,000000,232.2600000,237.0000000,230.5000000,232.3100000
ROSN,D,20140327,000000,231.8700000,233.2000000,230.1200000,232.6000000
ROSN,D,20140328,000000,232.7900000,234.3000000,231.2000000,231.4000000
ROSN,D,20140331,000000,232.5000000,234.5300000,231.0900000,234.5300000
ROSN,D,20140401,000000,234.3500000,235.3500000,231.2200000,231.7000000
ROSN,D,20140402,000000,232.3200000,233.0000000,230.5000000,233.0000000
ROSN,D,20140403,000000,233.8700000,233.9700000,229.5100000,230.5000000
ROSN,D,20140404,000000,231.0200000,233.0700000,230.0000000,232.4900000
ROSN,D,20140407,000000,230.5000000,231.4200000,228.1000000,231.4200000
ROSN,D,20140408,000000,231.4000000,232.2500000,228.4000000,229.9500000
ROSN,D,20140409,000000,230.1700000,232.0000000,229.0100000,231.9900000
ROSN,D,20140410,000000,232.3000000,234.7500000,230.9900000,234.5800000
ROSN,D,20140411,000000,233.1100000,234.8000000,231.3100000,232.5200000
ROSN,D,20140414,000000,231.7100000,234.7500000,230.1000000,233.8800000
ROSN,D,20140415,000000,233.6400000,234.9400000,225.9500000,225.9500000
ROSN,D,20140416,000000,227.1000000,228.2100000,221.2600000,225.5900000
ROSN,D,20140417,000000,227.5100000,228.4500000,222.8200000,228.4500000
ROSN,D,20140418,000000,232.5800000,234.4400000,231.5200000,231.7700000
ROSN,D,20140421,000000,231.7500000,233.3000000,230.5100000,230.9000000
ROSN,D,20140422,000000,230.7500000,231.7700000,229.2800000,230.0000000
ROSN,D,20140423,000000,229.6200000,230.1800000,228.0800000,228.1700000
ROSN,D,20140424,000000,229.0000000,229.1900000,223.7100000,225.9800000
ROSN,D,20140425,000000,225.0000000,225.9200000,221.4000000,223.6200000
ROSN,D,20140428,000000,222.8700000,225.3700000,218.1800000,219.8000000
ROSN,D,20140429,000000,221.9500000,225.0000000,221.0100000,223.5100000
ROSN,D,20140430,000000,224.0000000,224.3600000,222.3400000,222.6200000
ROSN,D,20140502,000000,219.4300000,223.2300000,219.0500000,222.8000000
ROSN,D,20140505,000000,222.2500000,222.6000000,219.3400000,220.9000000
ROSN,D,20140506,000000,221.3100000,224.5600000,221.0700000,224.0500000
ROSN,D,20140507,000000,223.4700000,232.6700000,223.3300000,229.0000000
ROSN,D,20140508,000000,229.4800000,229.8000000,225.8000000,226.6700000
ROSN,D,20140512,000000,227.7000000,230.4600000,224.3100000,229.5000000
ROSN,D,20140513,000000,229.9400000,230.9300000,228.5000000,229.5000000
ROSN,D,20140514,000000,229.7600000,230.3600000,228.7500000,229.9900000
ROSN,D,20140515,000000,229.9000000,230.9000000,226.5500000,227.0000000
ROSN,D,20140516,000000,226.9500000,228.3800000,225.5000000,227.2400000
ROSN,D,20140519,000000,227.6200000,229.8500000,227.3700000,228.1000000
